Date,Load,Zone
6/1/2023 19:00,1463.6962,GENESE
6/1/2023 19:00,1530.9431,HUD VL
6/1/2023 19:00,2919.5312,LONGIL
6/1/2023 19:00,1010.0111,MHK VL
6/1/2023 19:00,386.4988,MILLWD
6/1/2023 19:00,6299.3095,N.Y.C.
6/1/2023 19:00,677.3838,NORTH
6/1/2023 19:00,2292.0142,WEST
6/1/2023 20:00,1839.7336,CAPITL
6/1/2023 20:00,2198.0412,CENTRL
6/1/2023 20:00,771.3341,DUNWOD
6/1/2023 20:00,1417.3208,GENESE
6/1/2023 20:00,1473.812,HUD VL
6/1/2023 20:00,2825.0271,LONGIL
6/1/2023 20:00,1016.1136,MHK VL
6/1/2023 20:00,367.0314,MILLWD
6/1/2023 20:00,6077.4103,N.Y.C.
6/1/2023 20:00,657.4043,NORTH
6/1/2023 20:00,2223.6518,WEST
6/1/2023 21:00,1758.4068,CAPITL
6/1/2023 21:00,2077.3268,CENTRL
6/1/2023 21:00,741.0947,DUNWOD
6/1/2023 21:00,1344.4083,GENESE
6/1/2023 21:00,1393.0878,HUD VL
6/1/2023 21:00,2678.353,LONGIL
6/1/2023 21:00,974.2773,MHK VL
6/1/2023 21:00,349.1468,MILLWD
6/1/2023 21:00,5892.6524,N.Y.C.
6/1/2023 21:00,620.0753,NORTH
6/1/2023 21:00,2145.2529,WEST
6/1/2023 22:00,1601.3704,CAPITL
6/1/2023 22:00,1887.7004,CENTRL
6/1/2023 22:00,685.4539,DUNWOD
6/1/2023 22:00,1221.0206,GENESE
6/1/2023 22:00,1265.1963,HUD VL
6/1/2023 22:00,2437.772,LONGIL
6/1/2023 22:00,892.9428,MHK VL
6/1/2023 22:00,313.405,MILLWD
6/1/2023 22:00,5580.9116,N.Y.C.
6/1/2023 22:00,596.8771,NORTH
6/1/2023 22:00,2001.2859,WEST
6/1/2023 23:00,1457.2107,CAPITL
6/1/2023 23:00,1728.4651,CENTRL
6/1/2023 23:00,618.8538,DUNWOD
6/1/2023 23:00,1115.1369,GENESE
6/1/2023 23:00,1138.8774,HUD VL
6/1/2023 23:00,2197.358,LONGIL
6/1/2023 23:00,802.6518,MHK VL
6/1/2023 23:00,276.607,MILLWD
6/1/2023 23:00,5233.7301,N.Y.C.
6/1/2023 23:00,595.5832,NORTH
6/1/2023 23:00,1832.8798,WEST
6/2/2023 0:00,1356.953,CAPITL
6/2/2023 0:00,1631.3977,CENTRL
6/2/2023 0:00,575.3992,DUNWOD
6/2/2023 0:00,1035.1396,GENESE
6/2/2023 0:00,1043.2423,HUD VL
6/2/2023 0:00,1999.3399,LONGIL
6/2/2023 0:00,747.3996,MHK VL
6/2/2023 0:00,251.3086,MILLWD
6/2/2023 0:00,4915.2696,N.Y.C.
6/2/2023 0:00,590.7616,NORTH
6/2/2023 0:00,1718.8717,WEST
6/2/2023 1:00,1299.6994,CAPITL
6/2/2023 1:00,1545.4745,CENTRL
6/2/2023 1:00,539.1124,DUNWOD
6/2/2023 1:00,969.3716,GENESE
6/2/2023 1:00,974.5957,HUD VL
6/2/2023 1:00,1873.0498,LONGIL
6/2/2023 1:00,716.5088,MHK VL
6/2/2023 1:00,234.4699,MILLWD
6/2/2023 1:00,4686.035,N.Y.C.
6/2/2023 1:00,579.971,NORTH
6/2/2023 1:00,1641.3709,WEST
6/2/2023 2:00,1243.3173,CAPITL
6/2/2023 2:00,1498.6547,CENTRL
6/2/2023 2:00,506.9568,DUNWOD
6/2/2023 2:00,934.6272,GENESE
6/2/2023 2:00,936.7134,HUD VL
6/2/2023 2:00,1790.0725,LONGIL
6/2/2023 2:00,691.3653,MHK VL
6/2/2023 2:00,220.0668,MILLWD
6/2/2023 2:00,4524.0499,N.Y.C.
6/2/2023 2:00,581.6184,NORTH
6/2/2023 2:00,1570.4669,WEST
6/2/2023 3:00,1209.1125,CAPITL
6/2/2023 3:00,1467.1252,CENTRL
6/2/2023 3:00,488.3443,DUNWOD
6/2/2023 3:00,917.6854,GENESE
6/2/2023 3:00,895.6851,HUD VL
6/2/2023 3:00,1742.3164,LONGIL
6/2/2023 3:00,673.8901,MHK VL
6/2/2023 3:00,213.7895,MILLWD
6/2/2023 3:00,4436.086,N.Y.C.
6/2/2023 3:00,578.9041,NORTH
6/2/2023 3:00,1524.9647,WEST
6/2/2023 4:00,1199.3918,CAPITL
6/2/2023 4:00,1454.7765,CENTRL
6/2/2023 4:00,488.1034,DUNWOD
6/2/2023 4:00,919.5713,GENESE
6/2/2023 4:00,882.0057,HUD VL
6/2/2023 4:00,1746.6215,LONGIL
6/2/2023 4:00,680.966,MHK VL
6/2/2023 4:00,211.8889,MILLWD
6/2/2023 4:00,4428.0781,N.Y.C.
6/2/2023 4:00,580.5894,NORTH
6/2/2023 4:00,1536.9686,WEST
6/2/2023 5:00,1229.9522,CAPITL
6/2/2023 5:00,1516.4138,CENTRL
6/2/2023 5:00,502.2469,DUNWOD
6/2/2023 5:00,950.8394,GENESE
6/2/2023 5:00,895.8,HUD VL
6/2/2023 5:00,1797.3128,LONGIL
6/2/2023 5:00,705.7164,MHK VL
6/2/2023 5:00,221.5015,MILLWD
6/2/2023 5:00,4603.4207,N.Y.C.
6/2/2023 5:00,590.3765,NORTH
6/2/2023 5:00,1553.5739,WEST
6/2/2023 6:00,1314.8638,CAPITL
6/2/2023 6:00,1627.5739,CENTRL
6/2/2023 6:00,552.351,DUNWOD
6/2/2023 6:00,991.6754,GENESE
6/2/2023 6:00,935.6589,HUD VL
6/2/2023 6:00,1923.2793,LONGIL
6/2/2023 6:00,748.8154,MHK VL
6/2/2023 6:00,243.0781,MILLWD
6/2/2023 6:00,5104.8066,N.Y.C.
6/2/2023 6:00,612.4452,NORTH
6/2/2023 6:00,1627.9288,WEST
6/2/2023 7:00,1394.0073,CAPITL
6/2/2023 7:00,1683.9978,CENTRL
6/2/2023 7:00,609.1409,DUNWOD
6/2/2023 7:00,1021.927,GENESE
6/2/2023 7:00,978.9396,HUD VL
6/2/2023 7:00,2053.7468,LONGIL
6/2/2023 7:00,742.9764,MHK VL
6/2/2023 7:00,264.5874,MILLWD
6/2/2023 7:00,5660.0754,N.Y.C.
6/2/2023 7:00,619.4337,NORTH
6/2/2023 7:00,1743.2409,WEST
6/2/2023 8:00,1409.1883,CAPITL
6/2/2023 8:00,1688.4444,CENTRL
6/2/2023 8:00,658.4719,DUNWOD
6/2/2023 8:00,1040.2565,GENESE
6/2/2023 8:00,997.8407,HUD VL
6/2/2023 8:00,2148.7271,LONGIL
6/2/2023 8:00,735.5365,MHK VL
6/2/2023 8:00,285.991,MILLWD
6/2/2023 8:00,6130.7505,N.Y.C.
6/2/2023 8:00,529.314,NORTH
6/2/2023 8:00,1829.0448,WEST
6/2/2023 9:00,1423.0969,CAPITL
6/2/2023 9:00,1715.7968,CENTRL
6/2/2023 9:00,706.532,DUNWOD
6/2/2023 9:00,1080.2334,GENESE
6/2/2023 9:00,1035.1544,HUD VL
6/2/2023 9:00,2225.4515,LONGIL
6/2/2023 9:00,724.9142,MHK VL
6/2/2023 9:00,299.7692,MILLWD
6/2/2023 9:00,6493.828,N.Y.C.
6/2/2023 9:00,624.1681,NORTH
6/2/2023 9:00,1901.8433,WEST
6/2/2023 10:00,1453.5857,CAPITL
6/2/2023 10:00,1757.3978,CENTRL
6/2/2023 10:00,751.5294,DUNWOD
6/2/2023 10:00,1132.2642,GENESE
6/2/2023 10:00,1071.5267,HUD VL
6/2/2023 10:00,2332.2067,LONGIL
6/2/2023 10:00,733.4367,MHK VL
6/2/2023 10:00,340.9883,MILLWD
6/2/2023 10:00,6755.4566,N.Y.C.
6/2/2023 10:00,653.0828,NORTH
6/2/2023 10:00,1988.5556,WEST
6/2/2023 11:00,1501.0381,CAPITL
6/2/2023 11:00,1821.8202,CENTRL
6/2/2023 11:00,791.4173,DUNWOD
6/2/2023 11:00,1182.3537,GENESE
6/2/2023 11:00,1146.2348,HUD VL
6/2/2023 11:00,2484.8728,LONGIL
6/2/2023 11:00,783.2476,MHK VL
6/2/2023 11:00,379.327,MILLWD
6/2/2023 11:00,6941.0364,N.Y.C.
6/2/2023 11:00,660.9343,NORTH
6/2/2023 11:00,2061.3425,WEST
6/2/2023 12:00,1584.647,CAPITL
6/2/2023 12:00,1914.695,CENTRL
6/2/2023 12:00,828.8897,DUNWOD
6/2/2023 12:00,1250.6487,GENESE
6/2/2023 12:00,1248.3025,HUD VL
6/2/2023 12:00,2615.7473,LONGIL
